city;country;price;size;rooms;latitude;longitude;address
berlin;DE;755000;114.21;4;52.5210886;13.4017389;"Anna-Louisa-Karsch-Straße 3, Mitte (Mitte), Berlin"
berlin;DE;3980000;272;6.5;52.4873475;13.2637538;"Grunewald (Wilmersdorf), Berlin"
berlin;DE;549900;106.69;2;52.573546;13.4224184;"Damerowstraße 58 K, Pankow (Pankow), Berlin"
berlin;DE;395000;119;3;52.4539099;13.5764126;"Köpenick (Köpenick), Berlin"
berlin;DE;267500;37.22;1;52.4567544;13.579214789909031;"Treptow (Treptow), Berlin"
berlin;DE;510000;95.65;3;52.4154272;13.5805633;"Grünau (Köpenick), Berlin"
berlin;DE;3150000;213;5;52.5291213;13.4024655;"Linienstraße 72, Mitte (Mitte), Berlin"
berlin;DE;269000;52.46;2;52.5202262;13.3704874;"Tiergarten (Tiergarten), Berlin"
berlin;DE;1070000;141;4;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;659000;92;2;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;575000;107.75;3;52.4837034;13.5233553;"Karlshorst (Lichtenberg), Berlin"
berlin;DE;1000000;68.76;2;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;899000;118;2;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;465000;61.02;2;52.4296775;13.2249093;"Potsdamer Chaussee 72, Nikolassee (Zehlendorf), Berlin"
berlin;DE;701000;100.58;3;52.4296775;13.2249093;"Potsdamer Chaussee 72, Nikolassee (Zehlendorf), Berlin"
berlin;DE;1480000;189;4.5;52.4873475;13.2637538;"Grunewald (Wilmersdorf), Berlin"
berlin;DE;579000;107.88;3;52.5983189;13.3755194;"Rosenthal (Pankow), Berlin"
berlin;DE;1800000;160;4;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;849600;103.61;3;52.512509;13.4155481;"Am Köllnischen Park 6/7, Mitte (Mitte), Berlin"
berlin;DE;542500;57.73;2;52.512509;13.4155481;"Am Köllnischen Park 6/7, Mitte (Mitte), Berlin"
berlin;DE;290000;57;2;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;185000;38;1;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;294500;43.75;1;52.4873366;13.3510975;"Wartburgstr. 51, Schöneberg (Schöneberg), Berlin"
berlin;DE;250000;53.2;2;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;950000;147.38;4;52.4819508;13.309856;"Schmargendorf (Wilmersdorf), Berlin"
berlin;DE;450000;93.56;3;52.4403551;13.5055692;"Winckelmannstrasse 7a, Johannisthal (Treptow), Berlin"
berlin;DE;690000;204;6;52.4837034;13.5233553;"Karlshorst (Lichtenberg), Berlin"
berlin;DE;278000;38;2;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;600000;84;2.5;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;899000;127;3;52.4632921;13.3864477;"Tempelhof (Tempelhof), Berlin"
berlin;DE;350000;83.67;3.5;52.459483;13.3419404;"Friedrichsruher Straße 18, Steglitz (Steglitz), Berlin"
berlin;DE;420000;80.31;3;52.4756445;13.4289413;"Mittelweg 53, Neukölln (Neukölln), Berlin"
berlin;DE;395000;72;3;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;300000;60.54;2;52.4932432;13.3459486;"Traunsteiner Straße 9, Schöneberg (Schöneberg), Berlin"
berlin;DE;999999;129;4;52.5130927;13.4688106;"Finowstr. 5, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;565000;111.4;4;52.5873829;13.3998031;"Uhlandstraße 6, Niederschönhausen (Pankow), Berlin"
berlin;DE;633000;77.57;3;52.4886823;13.4197415;"Jahnstraße 15, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;373000;48.19;2;52.4886823;13.4197415;"Jahnstraße 15, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;1505000;136.59;5;52.5202262;13.3704874;"Tiergarten (Tiergarten), Berlin"
berlin;DE;279000;47.81;1;52.5202262;13.3704874;"Tiergarten (Tiergarten), Berlin"
berlin;DE;449500;54.4;2;52.5173367;13.4158783;"Voltairestraße 11, Mitte (Mitte), Berlin"
berlin;DE;377000;59;2.5;52.4819508;13.309856;"Schmargendorf (Wilmersdorf), Berlin"
berlin;DE;950000;113;3;52.5122154;13.4502904;"Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1310000;167;4;52.5122154;13.4502904;"Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1200000;122.62;2;52.5176896;13.4023757;"Mitte (Mitte), Berlin"
berlin;DE;1250000;101.61;3;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;546500;62.27;2;52.512509;13.4155481;"Am Köllnischen Park 6/7, Mitte (Mitte), Berlin"
berlin;DE;285900;57.26;2;52.5892625;13.4106761;"Fritz Reuter Str. 17, Niederschönhausen (Pankow), Berlin"
berlin;DE;732000;130.7;5;52.5831018;13.3935905;"Am Iderfenngraben 5, Niederschönhausen (Pankow), Berlin"
berlin;DE;539000;70.55;2;52.4955306;13.4273449;"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;369000;65;2;52.519411;13.3061216;"Wintersteinstraße 19, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;1690000;109;3;52.50054605;13.452841312877844;"Stralauer Allee 5, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;475000;67.99;2;52.5108256;13.4522496;"Warschauer Straße 65, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;695000;178;6;;;"Claudiusstraße 3, Tiergarten (Tiergarten), Berlin"
berlin;DE;225000;39.31;2;52.5508832;13.4127016;"Schivelbeiner Straße 3, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;425000;71.3;2;52.5228797;13.2887005;"Heubnerweg 3a, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;229000;29.11;1;52.4955306;13.4273449;"Lausitzer Straße 34, Kreuzberg (Kreuzberg), Berlin"
berlin;DE;365000;74;2;52.4347464;13.2767374;"Brettnacher Straße 16, Zehlendorf (Zehlendorf), Berlin"
berlin;DE;631000;138.18;5;52.5056276;13.2836266;"Dernburgstraße 55, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;1380000;198.41;5.5;52.44241945;13.300841071827413;"Mommsenstraße 7, Lichterfelde (Steglitz), Berlin"
berlin;DE;1250000;195.39;4;52.5486007;13.4122491;"Kopenhagener Straße 77, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;1500000;157.59;4;52.5085766;13.4535534;"Libauer Straße 13, Friedrichshain (Friedrichshain), Berlin"
berlin;DE;1995000;188.25;3.5;52.5057382;13.4222286;"Adalbertstraße 66, Mitte (Mitte), Berlin"
berlin;DE;949000;145;3;52.4792166;13.5278616;"Am Carlsgarten 10, Karlshorst (Lichtenberg), Berlin"
berlin;DE;544900;72.85;2;52.5303361;13.4489317;"Conrad-Blenkle-Str. 29, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;368900;55.13;2;52.5303361;13.4489317;"Conrad-Blenkle-Str. 29, Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;1495000;160;5;52.4871152;13.3203298;"Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;400000;66.19;2;52.4269862;13.5737206;"Regattastraße 11, Grünau (Köpenick), Berlin"
berlin;DE;366000;66;2;52.4269862;13.5737206;"Regattastraße 11, Grünau (Köpenick), Berlin"
berlin;DE;179800;33.9;1;52.4262555;13.5754055;"Gaffelsteig 5, Grünau (Köpenick), Berlin"
berlin;DE;195800;37.4;1;52.4262555;13.5754055;"Gaffelsteig 5, Grünau (Köpenick), Berlin"
berlin;DE;1101000;123.4;4;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;298000;34.2;1;52.5034002;13.3386373;"Charlottenburg (Charlottenburg), Berlin"
berlin;DE;759500;93.11;3;52.5173367;13.4158783;"Voltairestraße 11, Mitte (Mitte), Berlin"
berlin;DE;175000;51.3;2;52.4604442;13.4368712;"Jahnstraße 78, Britz (Neukölln), Berlin"
berlin;DE;290000;73.01;3;52.4667021;13.4357289;"Hertastraße 27, Neukölln (Neukölln), Berlin"
berlin;DE;1090000;164;4;;;"Damaschkestraße 39, Wilmersdorf (Wilmersdorf), Berlin"
berlin;DE;775100;228;7;52.47455;13.4492928;"Böhmische Straße 42, Neukölln (Neukölln), Berlin"
berlin;DE;345000;65.2;2;52.47455;13.4492928;"Böhmische Straße 42, Neukölln (Neukölln), Berlin"
berlin;DE;2334500;161;4;52.5283441;13.4234544;"Prenzlauer Berg (Prenzlauer Berg), Berlin"
berlin;DE;248500;47;2;52.5232403;13.3020723;"Mierendorffstraße 16, Charlottenburg (Charlottenburg), Berlin"
berlin;DE;359950;73;3;52.4866817;13.5428101;"Regenerstraße 59, Karlshorst (Lichtenberg), Berlin"
berlin;DE;374300;76;2;52.4866817;13.5428101;"Regenerstraße 59, Karlshorst (Lichtenberg), Berlin"
berlin;DE;159016;61.42;3;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;209547;53.73;2;52.450388;13.3228901;"Birkbuschstr. 86, Steglitz (Steglitz), Berlin"
berlin;DE;128994;29.02;1;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;189003;64.44;3;52.4572569;13.3222865;"Steglitz (Steglitz), Berlin"
berlin;DE;466960;116.74;4;;;"Bochumer Straße 17, Tiergarten (Tiergarten), Berlin"
berlin;DE;490000;102;3;52.482157;13.3551901;"Schöneberg (Schöneberg), Berlin"
berlin;DE;425000;79.83;3;52.4890778;13.5248866;"Hönower Straße 4-7, Karlshorst (Lichtenberg), Berlin"
berlin;DE;480000;88.69;3;52.4890778;13.5248866;"Hönower Straße 4-7, Karlshorst (Lichtenberg), Berlin"
berlin;DE;658701;70.12;3;52.4767672;13.4262202;"Hermannstraße 56, Neukölln (Neukölln), Berlin"
berlin;DE;576502;67.86;2;52.4767672;13.4262202;"Hermannstraße 56, Neukölln (Neukölln), Berlin"
berlin;DE;989500;151.3;4;52.5035053;13.3478914;"Kurfürstenstraße 41-44, Tiergarten (Tiergarten), Berlin"
berlin;DE;1499500;131.9;3;52.5035053;13.3478914;"Kurfürstenstraße 41-44, Tiergarten (Tiergarten), Berlin"
berlin;DE;1100000;125;4;52.4221355;13.5785327;"Schlierseestraße 2-4, Grünau (Köpenick), Berlin"
berlin;DE;575000;86;4;52.4221355;13.5785327;"Schlierseestraße 2-4, Grünau (Köpenick), Berlin"
berlin;DE;699000;104.35;3;52.55176165;13.443554074287972;"Roelckestraße 13, Weißensee (Weißensee), Berlin"
berlin;DE;638000;105.79;4;52.55176165;13.443554074287972;"Roelckestraße 13, Weißensee (Weißensee), Berlin"
