city;country;price;size;rooms;latitude;longitude;address
munich;DE;437100;52.52;2;48.1521616;11.4810354;"Berduxstraße 30, Obermenzing, München"
munich;DE;1950000;165;5;48.1277214;11.6055187;"Haidhausen, München"
munich;DE;1475000;125;3;48.1317712;11.5558087;"Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;1276000;159;3;48.16257;11.4693724;"Obermenzing, München"
munich;DE;895000;87.22;3;48.1317712;11.5558087;"Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;2277000;117.73;3;48.1205687;11.5849537;"Regerstraße -, Haidhausen, München"
munich;DE;984000;83.41;3;48.1205687;11.5849537;"Regerstraße -, Haidhausen, München"
munich;DE;1650000;104.13;2;48.1290723;11.5783314;"Erhardtstraße 10, Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;1090000;58.32;1.5;48.1290723;11.5783314;"Erhardtstraße 10, Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;240000;23;1;48.1823848;11.5750432;"Milbertshofen, München"
munich;DE;2325000;184;4;48.097802;11.5208073;"Obersendling, München"
munich;DE;500000;58;2;48.1277214;11.6055187;"Haidhausen, München"
munich;DE;450000;44;2;48.1682709;11.5698727;"Schwabing-West, München"
munich;DE;500000;53;2;48.1396562;11.5879211;"Lehel, München"
munich;DE;400000;59;2;48.1317712;11.5558087;"Ludwigsvorstadt-Isarvorstadt, München"
munich;DE;2000000;198;4;48.1682709;11.5698727;"Schwabing-West, München"
munich;DE;1500000;185;6;48.13872625;11.498250123169136;"Ossietzkystraße 3, Laim, München"
munich;DE;729000;94.78;4;48.1004708;11.6635837;"Alexisweg 1, Perlach, München"
munich;DE;295000;68;2.5;48.1477854;11.4607008;"Pasing, München"
munich;DE;557900;61.66;2.5;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;435900;41.96;2;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;438900;42.17;2;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;482900;44.61;2;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;641900;68.97;3;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;790900;68.97;3;48.1502292;11.4746806;"Paul-Gerhardt-Allee 12, Obermenzing, München"
munich;DE;609000;79.9;3;48.1000997;11.6306502;"Perlach, München"
munich;DE;625000;81;2.5;48.1260355;11.6633383;"Trudering, München"
munich;DE;840000;136.92;4;48.1798949;11.5105712;"Moosach, München"
munich;DE;212829;20.8;1;48.08669;11.6453855;"Carl-Wery-Straße 35, Perlach, München"
munich;DE;337662;33.06;1;48.08669;11.6453855;"Carl-Wery-Straße 35, Perlach, München"
munich;DE;636000;78.42;3;48.17644815;11.40373165;"Federseestraße 8, Lochhausen, München"
munich;DE;624000;80.14;3;48.17644815;11.40373165;"Federseestraße 8, Lochhausen, München"
munich;DE;840000;82.75;3;48.1861971;11.56597345;"Schleißheimer Straße 321, Milbertshofen, München"
munich;DE;909000;84.25;3;48.1861971;11.56597345;"Schleißheimer Straße 321, Milbertshofen, München"
munich;DE;322000;30.71;1;48.1004708;11.6635837;"Alexisweg 1, Perlach, München"
munich;DE;917000;107.14;4;48.1004708;11.6635837;"Alexisweg 1, Perlach, München"
munich;DE;698500;73.3;2;48.145344050000006;11.469575447207449;"Landsberger Straße 459, Pasing, München"
munich;DE;608500;60.85;2;48.145344050000006;11.469575447207449;"Landsberger Straße 459, Pasing, München"
munich;DE;3199000;150.42;3;48.08877985;11.550423929630226;"Willroiderstraße 16, Harlaching, München"
munich;DE;1534900;90.44;2;48.08877985;11.550423929630226;"Willroiderstraße 16, Harlaching, München"
munich;DE;632000;78.18;3;48.17644815;11.40373165;"Federseestraße 8, Lochhausen, München"
munich;DE;719000;89.14;3;48.17644815;11.40373165;"Federseestraße 8, Lochhausen, München"
munich;DE;776900;90.44;3;48.1507311;11.4806515;"Hermine-von-Parish-Straße 40, Obermenzing, München"
munich;DE;715900;77.14;3;48.1507311;11.4806515;"Hermine-von-Parish-Straße 40, Obermenzing, München"
munich;DE;869000;98.21;4;48.1397081;11.4204849;"Fritz-Bauer-Straße 28, Aubing, München"
munich;DE;477000;49.52;2;48.1397081;11.4204849;"Fritz-Bauer-Straße 28, Aubing, München"
munich;DE;1009900;159;6;48.1584371;11.4140662;"Aubing, München"
munich;DE;925000;103;4;48.0848354;11.4944766;"Forstenried, München"
munich;DE;1098000;116.59;4;48.120811;11.531886;"Ortlerstr. 11, Sendling-Westpark, München"
munich;DE;488000;56.84;2;48.120811;11.531886;"Ortlerstr. 11, Sendling-Westpark, München"
munich;DE;879400;111.37;3;48.1756662;11.395306;"Spatzenwinkel 24, Lochhausen, München"
munich;DE;1689900;140.71;3;48.1489781;11.4738005;"Baumbachstraße 5, Obermenzing, München"
munich;DE;949900;88.03;3;48.1489781;11.4738005;"Baumbachstraße 5, Obermenzing, München"
munich;DE;650000;90;4;48.1959252;11.5718148;"Am Hart, München"
munich;DE;350000;64;2;48.1959252;11.5718148;"Am Hart, München"
munich;DE;500000;63;2;48.16257;11.4693724;"Obermenzing, München"
munich;DE;4329000;207.33;4;48.1604395;11.6148256;"Flemingstraße 57c, Bogenhausen, München"
munich;DE;2365000;167;5;48.1547823;11.6334838;"Bogenhausen, München"
